node D L T
1186196 0.0105952 0.815743 0.529761
2950540 0.0105952 0.815743 0.529761
2055893 0.0105952 0.815743 0.529761
1324957 0.0105952 0.815743 0.529761
768065 0.0105952 0.815743 0.529761
1238425 0.0105952 0.815743 0.529761
1126234 0.0105952 0.815743 0.529761
1514971 0.0105952 0.815743 0.529761
755307 0.0105952 0.815743 0.529761
2917812 0.0105952 0.815743 0.529761
1236180 0.0105952 0.815743 0.529761
553467 0.0105952 0.815743 0.529761
2743089 0.0105952 0.815743 0.529761
2743090 0.0105952 0.815743 0.529761
1267564 0.0105952 0.815743 0.529761
1048396 0.0105952 0.815743 0.529761
1198295 0.0105952 0.815743 0.529761
869891 0.0105952 0.815743 0.529761
1073996 0.0105952 0.815743 0.529761
3031996 0.0105952 0.815743 0.529761
3032001 0.0105952 0.815743 0.529761
2175149 0.0105952 0.815743 0.529761
43928 0.0105952 0.815743 0.529761
699431 0.0105952 0.815743 0.529761
1202767 0.0105952 0.815743 0.529761
1515593 0.0105952 0.815743 0.529761
1230456 0.0105952 0.815743 0.529761
416348 0.0105952 0.815743 0.529761
1230454 0.0105952 0.815743 0.529761
1227481 0.0105952 0.815743 0.529761
261291 0.0105952 0.815743 0.529761
63740 0.0105952 0.815743 0.529761
1765655 0.0105952 0.815743 0.529761
387340 0.0105952 0.815743 0.529761
1433523 0.0105952 0.815743 0.529761
1364933 0.0105952 0.815743 0.529761
413815 0.0105952 0.815743 0.529761
2739057 0.0105952 0.815743 0.529761
1126240 0.0105952 0.815743 0.529761
175631 0.0105952 0.815743 0.529761
1383851 0.0105952 0.815743 0.529761
1383844 0.0105952 0.815743 0.529761
1776492 0.0105952 0.815743 0.529761
1364940 0.0105952 0.815743 0.529761
2511997 0.0105952 0.815743 0.529761
2487750 0.0105952 0.815743 0.529761
2216978 0.0105952 0.815743 0.529761
268735 0.0105952 0.815743 0.529761
869892 0.0105952 0.815743 0.529761
555874 0.0105952 0.815743 0.529761
1816183 0.0105952 0.815743 0.529761
767515 0.0105952 0.815743 0.529761
1547898 0.0105952 0.815743 0.529761
660522 0.0105952 0.815743 0.529761
660520 0.0105952 0.815743 0.529761
660521 0.0105952 0.815743 0.529761
699433 0.0105952 0.815743 0.529761
931585 0.0105952 0.815743 0.529761
2761102 0.0105952 0.815743 0.529761
660517 0.0105952 0.815743 0.529761
2650753 0.0105952 0.815743 0.529761
523841 0.0105952 0.815743 0.529761
309800 0.0105952 0.815743 0.529761
662480 0.0105952 0.815743 0.529761
2666143 0.0105952 0.815743 0.529761
2666140 0.0105952 0.815743 0.529761
1748331 0.0105952 0.815743 0.529761
302484 0.0105952 0.815743 0.529761
1544718 0.0105952 0.815743 0.529761
1476858 0.0105952 0.815743 0.529761
553469 0.0105952 0.815743 0.529761
555875 0.0105952 0.815743 0.529761
2950537 0.0105952 0.815743 0.529761
2950536 0.0105952 0.815743 0.529761
1679096 0.0105952 0.815743 0.529761
767519 0.0105952 0.815743 0.529761
1033806 0.0105952 0.815743 0.529761
519442 0.0105952 0.815743 0.529761
1457250 0.0105952 0.815743 0.529761
2841257 0.0105952 0.815743 0.529761
869889 0.0105952 0.815743 0.529761
1198301 0.0105952 0.815743 0.529761
869886 0.0105952 0.815743 0.529761
3026162 0.0105952 0.815743 0.529761
1126241 0.0105952 0.815743 0.529761
1367881 0.0105952 0.815743 0.529761
660518 0.0105952 0.815743 0.529761
890420 0.0105952 0.815743 0.529761
869890 0.0105952 0.815743 0.529761
2692199 0.0105952 0.815743 0.529761
1510225 0.0105952 0.815743 0.529761
